iter	RMSE
0	11858.90403
1	11774.03032
2	11684.52526
3	11599.37778
4	11516.04581
5	11430.07928
6	11347.40067
7	11265.82437
8	11182.02862
9	11118.33935
10	11041.29666
11	10960.32562
12	10885.80608
13	10803.64492
14	10725.91416
15	10649.57317
16	10577.10695
17	10501.03841
18	10422.55529
19	10350.91438
20	10282.99614
21	10209.67181
22	10138.52415
23	10066.59342
24	9993.660795
25	9928.312505
26	9859.52337
27	9794.034273
28	9727.304962
29	9669.163058
30	9605.589085
31	9546.448251
32	9488.87669
33	9425.376631
34	9360.005914
35	9302.064182
36	9241.305078
37	9180.737195
38	9121.382652
39	9067.748901
40	9007.388936
41	8946.44068
42	8889.631637
43	8833.495911
44	8778.200095
45	8726.612624
46	8674.597145
47	8622.859551
48	8576.985668
49	8523.477098
50	8472.126764
51	8421.381713
52	8367.312573
53	8316.414839
54	8266.06882
55	8216.700598
56	8166.850641
57	8116.443881
58	8066.2192
59	8016.876053
60	7971.295766
61	7923.679725
62	7880.989573
63	7840.254213
64	7796.217944
65	7755.960751
66	7710.937196
67	7666.573904
68	7624.332385
69	7584.503709
70	7542.289525
71	7498.98252
72	7457.621477
73	7416.982567
74	7377.899571
75	7339.825959
76	7307.98015
77	7275.021851
78	7234.297466
79	7199.727558
80	7161.261007
81	7128.777658
82	7096.525049
83	7063.550954
84	7029.086532
85	6997.630921
86	6961.480799
87	6929.274827
88	6894.74234
89	6864.005261
90	6830.95122
91	6800.055081
92	6767.575177
93	6737.753541
94	6706.9786
95	6675.623251
96	6649.168926
97	6618.604857
98	6587.171221
99	6559.829281
100	6531.580158
101	6506.371145
102	6480.162626
103	6452.102291
104	6423.175818
105	6394.889597
106	6369.120783
107	6340.586685
108	6314.743976
109	6286.575951
110	6263.149064
111	6237.379373
112	6211.888884
113	6185.573555
114	6159.811277
11115	6095.8365511116	6074.8473111117	6054.1502211118	6028.763488
119	6003.59532
120	5980.346869
121	5956.333956
122	5934.997438
123	5912.832071
124	5889.599679
125	5870.644362
126	5848.948236
127	5831.695727
128	5808.853291
129	5788.165006
130	5771.55285
131	5750.477187
132	5728.420147
133	5707.515689
134	5688.771295
135	5671.871993
136	5655.231315
137	5635.443183
138	5615.949296
139	5597.143953
140	5578.7553
141	5560.892114
142	5543.004454
143	5526.958505
144	5508.984429
145	5492.394372
146	5478.557014
147	5460.958664
148	5442.727312
149	5426.460457
150	5409.821692
151	5393.050813
152	5379.729594
153	5363.673255
154	5347.263074
155	5331.184715
156	5315.845041
157	5300.191487
158	5286.098046
159	5271.229727
160	5259.153108
161	5244.332868
162	5230.734962
163	5219.34058
164	5204.695865
165	5191.217608
166	5177.401724
167	5164.035297
168	5149.838294
169	5137.218896
170	5127.316613
171	5117.131311
172	5104.386614
173	5093.021599
174	5082.762582
175	5073.230883
176	5061.959931
177	5051.490091
178	5040.866512
179	5029.037032
180	5019.562433
181	5009.617635
182	4998.816997
183	4989.517241
184	4979.110986
185	4968.476823
186	4958.30798
187	4949.50886
188	4940.6495
189	4931.066623
190	4922.056874
191	4911.290189
192	4901.862385
193	4894.497371
194	4884.344986
195	4877.226091
196	4868.25288
197	4858.919796
198	4851.767913
199	4842.443357
200	4834.356459
201	4828.257964
202	4819.425142
203	4810.917295
204	4803.050233
205	4796.7411962206	4789.3575642207	4783.2270832208	4775.9746209209	4768.9601210210	4761.5420211	4850.243481
212	4843.583179
213	4835.928293
214	4829.501969
215	4824.11673
216	4817.611872
217	4813.188431
218	4806.511326
219	4800.778377
220	4795.124654
221	4790.532587
222	4784.789228
223	4779.929381
224	224	4672.715225	225	4666.801226	226	4661.48227	4227	4656.08954
228	4650.519902
229	4645.452832
230	4640.933521
231	4635.275336
232	4630.069823
233	4624.518859
234	4619.444397
235	4614.529262
236	4609.266237	237	4604.781082
238	4599.066239	4690.728068
240	4687.393699
241	4682.078608
242	4677.666148
243	4673.989929
244	4668.897947
245	4665.2750482246	4660.0241382247	4656.1475652248	4652.0309532249	4647.257327
250	4643.197914
251	4638.733517
252	4635.149534
253	4630.785089
254	4626.724703
255	4622.994191
256	4618.282084
257	4614.729176
258	4612.02889
259	4608.509921
260	4605.358424
261	4603.841588
262	4600.100503
263	4595.576774
264	4592.148042
265	4588.594324
266	4585.023568
267	4581.258296
268	4577.0418
269	4573.847175
270	4571.009189
271	4567.676304
