iter	Passed	Remaining
0	1	456
1	2	432
2	3	417
3	4	401
4	5	397
5	5	392
6	6	385
7	7	387
8	8	383
9	9	370
10	10	373
11	11	369
12	12	368
13	13	374
14	14	375
15	15	372
16	16	372
17	17	370
18	18	369
19	19	369
20	20	370
21	21	369
22	22	371
23	23	370
24	24	371
25	25	372
26	26	372
27	28	372
28	29	371
29	29	369
30	30	365
31	31	364
32	32	363
33	33	363
34	34	362
35	35	361
36	36	360
37	37	358
38	38	357
39	39	356
40	41	360
41	42	358
42	43	357
43	44	356
44	45	355
45	46	355
46	47	354
47	48	353
48	48	350
49	49	349
50	50	348
51	51	347
52	52	346
53	53	345
54	55	346
55	56	348
56	57	347
57	58	345
58	59	345
59	60	344
60	61	343
61	62	342
62	63	341
63	64	340
64	65	339
65	67	339
66	68	339
67	69	337
68	70	336
69	71	335
70	72	334
71	73	333
72	74	333
73	75	332
74	76	331
75	77	330
76	78	329
77	79	328
78	80	327
79	81	326
80	82	324
81	83	322
82	84	321
83	85	320
84	86	319
85	87	318
86	88	317
87	89	316
88	90	316
89	91	315
90	92	314
91	93	313
92	94	311
93	95	310
94	96	309
95	97	308
96	98	307
97	99	306
98	100	306
99	101	305
100	103	305
101	104	304
102	105	303
103	106	302
104	107	301
105	108	300
106	109	301
107	111	300
108	112	299
109	113	299
110	114	298
111	115	297
112	116	296
113	117	295
114	118	294
115	119	292
116	120	291
117	121	290
118	122	289
119	123	2118120	124	2119121	125	2120122	126	2121123	127	2122124	128	2123	148	331
124	150	330
125	151	329
126	152	328
127	153	326
128	154	324
129	155	323
130	156	321
131	157	320
132	158	318
133	159	317
134	160	315
135	162	314
136	163	314
137	164	313
138	167	314
139	168	312
140	169	311
141	170	310
142	171	308
143	172	307
144	173	305
145	175	304
146	176	303
147	177	301
148	178	301
149	179	299
150	181	298
151	182	297
152	183	295
153	184	294
154	185	293
155	186	292
156	187	290
157	188	289
158	189	287
159	191	286
160	192	285
161	193	283
162	195	283
163	196	282
164	197	281
165	198	280
166	199	278
167	200	277
168	201	276
169	203	274
170	204	273
171	205	272
172	206	271
173	207	269
174	209	268
175	210	267
176	211	266
177	212	265
178	213	263
179	214	262
180	216	261
181	217	260
182	218	259
183	220	258
184	221	256
185	222	256
186	223	255
187	224	253
188	226	252
189	227	250
190	228	249
191	229	248
192	230	246
193	231	245
194	232	244
195	233	243
196	235	242
197	238	243
198	240	242
199	241	241
200	242	240
201	243	238
202	244	237
203	245	236
204	247	235
205	248	233
206	249	232
207	250	231
208	251	230
209	253	228
210	254	227
211	211	271	212	212	272	213	213	273	214	214	274	215	215	276	216	216	277	217	217	278	218	218	279	219	219	280	220	220	281	221	221	282	222	222	283	223	223	284	224	269	209
225	271	208
226	272	208
227	274	206
228	275	205
229	276	204
230	277	202
231	278	201
232	279	200
233	284	201
234	286	201
235	288	200
236	289	198
237	291	198
238	292	197
239	239	310	240	240	311	241	241	312	242	242	313	243	243	314	244	244	315	245	245	317	246	246	318	247	247	319	248	248	320	249	249	323	193
250	324	192
251	326	191
252	327	190
253	328	189
254	330	187
255	331	186
256	332	185
257	334	183
258	335	182
259	336	181
260	337	179
261	338	178
262	339	176
263	340	175
264	342	174
265	343	172
266	344	171
267	345	170
268	346	168
269	348	167
270	349	166
271	350	164
272	351	163
273	352	162
274	353	160
275	354	159
276	356	158
277	357	156
278	358	155
279	359	154
280	360	152
281	361	151
282	362	149
283	364	148
284	365	147
285	366	146
286	367	144
287	368	143
288	369	142
289	370	140
290	372	139
291	373	137
292	374	136
293	375	135
294	376	134
295	377	132
296	378	131
297	380	130
298	381	128
299	382	127
300	383	126
301	384	124
302	385	123
303	386	122
304	388	120
305	389	119
306	390	118
307	391	116
308	392	115
309	393	114
310	395	113
311	396	111
312	398	110
313	399	109
314	400	108
315	401	106
316	402	105
317	403	104
318	404	102
319	406	101
320	407	100
321	408	98
322	409	97
323	410	96
324	412	95
325	413	93
326	415	92
327	416	91
328	417	90
329	418	88
330	419	87
331	420	86
332	421	84
333	422	83
334	424	82
335	425	81
336	427	79
337	428	78
338	429	77
339	430	75
340	431	74
341	432	73
342	433	72
343	435	70
344	436	69
345	437	68
346	438	66
347	439	65
348	440	64
349	442	63
350	443	61
351	444	60
352	445	59
353	446	58
354	447	56
355	449	55
356	450	54
357	451	52
358	452	51
359	453	50
360	454	49
361	456	47
362	457	46
363	458	45
364	459	44
365	460	42
366	461	41
367	462	40
368	464	38
369	465	37
370	466	36
371	467	35
372	468	33
373	469	32
374	470	31
375	483	30
376	489	29
377	491	28
378	492	27
379	493	25
380	494	24
381	495	23
382	496	22
383	497	20
384	499	19
385	506	18
386	507	17
387	510	15
388	511	14
389	513	13
390	514	11
391	515	10
392	516	9
393	517	7
394	518	6
395	519	5
396	520	3
397	521	2
398	522	1
399	523	0
