iter	RMSE
0	11707.39933
1	11625.7894
2	11538.77485
3	11456.17934
4	11374.97609
5	11291.4946
6	11210.96931
7	11132.50204
8	11050.44624
9	10987.07578
10	10911.92742
11	10831.89957
12	10759.75001
13	10680.40212
14	10604.29383
15	10531.09342
16	10458.13297
17	10133.58798
18	10065.46697
19	10006.45292
20	9934.24742
21	9867.438215
22	9796.300216
23	9732.403024
24	9668.077848
25	9599.108909
26	9533.579925
27	9469.169397
28	9404.719516
29	9345.373431
30	9286.348629
31	9222.287297
32	9157.322912
33	9100.673886
34	9041.258585
35	8980.203466
36	8923.224068
37	8864.699561
38	8810.626905
39	8753.931796
40	8697.799428
41	8640.627622
42	8587.456942
43	8531.766297
44	8475.991645
45	8423.702352
46	8368.27008
47	8315.770422
48	8265.685117
49	8213.480187
50	8162.469945
51	8112.589961
52	8061.064804
53	8010.928919
54	7962.171796
55	7915.83101
56	7872.709281
57	7825.970568
58	7784.020202
59	7743.421508
60	7701.423561
61	7656.514354
62	7611.678347
63	7574.553482
64	7532.709246
65	7488.36239
66	7448.523898
67	7406.879421
68	7370.608502
69	7329.173495
70	7291.110709
71	7257.360559
72	7217.886527
73	7180.538974
74	7141.573339
75	7101.973839
76	7064.099327
77	7027.3985
78	6989.396541
79	6956.068926
80	6919.824154
81	6883.780354
82	6848.540535
83	6815.228094
84	6786.088563
85	6749.931341
86	6719.575289
87	6686.897744
88	6654.639462
89	6626.962534
90	6596.210076
91	6569.383814
92	6541.650959
93	6510.805939
94	6480.306691
95	6452.864921
96	6422.309009
97	6392.267765
98	6363.655948
99	6335.511864
100	6305.426045
101	6279.087186
102	6254.463607
103	6225.324743
104	6199.188042
105	6172.469933
106	6144.529393
107	6118.4261
108	6093.056808
109	6067.88946
110	6042.37671
111	6017.807078
112	5996.095859
113	5976.078413
114	5951.874567
115	5928.908648
116	5909.903935
117	5886.208638
118	5864.092514
119	5843.73067
120	5822.292375
121	5800.397759
122	5778.212796
123	5756.180312
124	5735.650028
125	5715.746618
126	5694.524118
127	5674.917326
128	5659.314193
129	5638.776689
130	5619.090492
131	5602.277724
132	5583.449793
133	5564.562809
134	5546.813067
135	5531.360155
136	5513.026263
137	5495.090797
138	5478.376382
139	5460.761609
140	5443.801536
141	5426.557043
142	5410.397018
143	5393.708147
144	5377.664653
145	5362.310393
146	5345.279409
147	5332.365767
148	5316.957636
149	5300.985633
150	5287.322452
151	5273.578472
152	5260.322881
153	5247.773368
154	5233.981561
155	5219.677939
156	5205.745906
157	5191.798458
158	5181.166
159	5166.938641
160	5155.8556
161	5143.26356
162	5129.68253
163	5116.499799
164	5104.123315
165	5093.997617
166	5083.531596
167	5070.494111
168	5059.009456
169	5048.220297
170	5037.411008
171	5027.242677
172	5016.740596
173	5006.106566
174	4995.052467
175	4984.548855
176	4974.733808
177	4965.17793
178	4955.527845
179	4944.801376
180	4934.79947
181	4925.29154
182	4914.601971
183	4907.139415
184	4897.239041
185	4888.715904
186	4879.638386
187	4870.019938
188	4860.263261
189	4851.126079
190	4842.05979
191	4833.100036
192	4824.620451
193	4816.995588
194	4809.782649
195	4800.860146
196	4792.41846
197	4786.585784
198	4777.965869
199	4770.392917
200	4763.605992
201	4755.956916
202	4749.29368
203	4741.813909
204	4736.048509
205	4727.958596
206	4720.346901
207	4713.40065
208	4706.198876
209	4700.144347
210	4695.078461
211	4688.416564
212	4681.65282
213	4675.43703
214	4668.829797
215	4662.720245
216	4656.602063
217	4651.432115
218	4648.357056
219	4642.663968
220	4637.203906
221	4631.462949
222	4625.499091
223	4621.256527
224	4616.325931
225	4611.197114
226	4605.147925
227	4599.14909
228	4592.588048
229	4587.407534
230	4582.192619
231	4577.873966
232	4572.277407
233	4568.286883
234	4562.943707
235	4557.300554
236	4552.335036
237	4547.792909
238	4543.639544
239	4539.341082
240	4535.116707
241	4531.724224
242	4527.658363
243	4523.421012
244	4519.851393
245	4515.627539
246	4512.033408
247	4508.230501
248	4504.299458
249	4500.722115
250	4496.525841
251	4492.706646
252	4488.901267
253	4485.90847
254	4481.939232
255	4477.973506
256	4473.531246
257	4470.525887
258	4466.478005
259	4462.774055
260	4459.38366
261	4455.652065
262	4451.788007
263	4447.62234
264	4443.582765
265	4440.217036
266	4437.542959
267	4434.528413
268	4430.839213
269	4427.952112
270	4425.214518
271	4421.840667
272	4419.144963
273	4416.472487
274	4413.148597
275	4410.544833
276	4407.888388
277	4405.310102
278	4402.772398
279	4400.174836
280	4397.29273
281	4395.074118
282	4392.316296
283	4389.182669
284	4386.926922
285	4384.817464
286	4381.66114
287	4379.58687
288	4377.063372
289	4374.65804
290	4372.40489
291	4369.904997
292	4367.625909
293	4365.370731
294	4363.032331
295	4360.829086
296	4358.959659
297	4356.939697
298	4355.14741
299	4353.07611
300	4350.860519
301	4348.667626
302	4346.537077
303	4344.84207
304	4342.690791
305	4340.665006
306	4338.724431
307	4336.378664
308	4334.354822
309	4332.908905
310	4330.985955
311	4329.075814
312	4326.348594
313	4325.107654
314	4322.498314
315	4320.806092
316	4318.899803
317	4317.239446
318	4316.154214
319	4314.502412
320	4313.078744
321	4311.051475
322	4309.85105
323	4308.047478
324	4307.136097
325	4304.603255
326	4302.551434
327	4300.731302
328	4298.416683
329	4296.636493
330	4294.757412
331	4293.016161
332	4291.199776
333	4289.588629
334	4287.334436
335	4285.657884
336	4284.318053
337	4282.782457
338	4281.008115
339	4279.537679
340	4278.121927
341	4276.309772
342	4274.812961
343	4273.300061
344	4271.796761
345	4270.379182
346	4269.391997
347	4267.882075
348	4266.166825
349	4264.790108
350	4263.429218
351	4262.449792
352	4260.75966
353	4259.5996
354	4258.140201
355	4256.971863
356	4256.056514
357	4254.80743
358	4253.777034
359	4252.525551
360	4251.138728
361	4250.053769
362	4248.330396
363	4246.918703
364	4245.742287
365	4243.981545
366	4242.747344
367	4241.61383
368	4240.387329
369	4239.330381
370	4238.422516
371	4237.573214
372	4236.359272
373	4235.186834
374	4234.257636
375	4233.110158
376	4231.853014
377	4230.789448
378	4230.030677
379	4229.021036
380	4227.621105
381	4226.612538
382	4225.263288
383	4223.860303
384	4222.835605
385	4222.150369
