iter	Passed	Remaining
0	110	43964
1	111	22183
2	112	14936
3	113	11272
4	115	9112
5	116	7666
6	118	6631
7	119	5852
8	120	5246
9	121	4738
10	123	4353
11	124	4030
12	125	3746
13	127	3503
14	128	3291
15	129	3108
16	130	2946
117	164	3500118	167	3353119	172	3283
20	174	3147
21	176	3030
22	178	2927
23	183	2881
24	185	2780
25	186	2688
26	188	2600
27	189	2519
28	190	2443
29	192	2372
30	203	2427
31	205	2360
32	216	2407
33	218	2347
34	219	2290
35	221	2237
36	222	2186
37	224	2138
38	228	2117
39	230	2074
40	232	2033
41	234	1997
42	235	1959
43	237	1922
44	239	1886
45	243	1871
46	245	1840
47	246	1810
48	248	1780
49	250	1751
50	252	1730
51	254	1704
52	258	1695
53	260	1669
54	262	1644
55	263	1620
56	265	1597
57	267	1576
58	268	1554
59	270	1535
60	273	1518
61	275	1499
62	276	1480
63	278	1462
64	280	1445
65	282	1427
66	283	1410
67	285	1393
68	287	1377
69	289	1362
70	290	1347
71	292	1332
72	294	1317
73	295	1303
74	297	1288
75	299	1274
76	300	1261
77	303	1251
78	304	1238
79	306	1225
80	308	1213
81	309	1201
82	311	1189
83	313	1177
84	314	1166
85	317	1158
86	319	1148
87	320	1137
88	322	1127
89	324	1116
90	325	1106
91	327	1096
92	329	1089
93	332	1082
94	334	1072
95	335	1063
96	337	1054
97	339	1045
98	340	1036
99	342	1027
100	344	1020
101	347	1014
102	348	1004
103	350	996
104	351	988
105	353	980
106	355	972
107	356	965
108	358	957
109	361	952
110	363	945
111	365	938
112	366	931
113	368	924
114	370	917
115	372	910
116	374	905
117	376	900
118	378	894
119	380	888
120	382	882
121	384	876
122	386	869
123	388	864
124	391	860
125	393	854
126	394	848
127	396	842
128	398	836
129	399	830
130	401	825
131	403	820
132	406	815
133	407	809
134	409	804
135	411	798
136	412	792
137	414	787
138	416	781
139	419	778
140	421	773
141	422	768
142	424	763
143	426	758
144	428	753
145	430	748
146	431	743
147	433	738
148	435	733
149	437	729
150	439	724
151	440	719
152	442	714
153	444	710
154	446	705
155	449	703
156	451	698
157	453	694
158	454	689
159	456	684
160	458	680
161	459	675
162	461	671
163	464	668
164	466	663
165	467	659
166	469	655
167	471	650
168	473	646
169	474	642
170	477	639
171	479	636
172	482	632
173	484	628
174	486	624
175	487	620
176	489	616
177	492	613
178	494	610
179	496	606
180	497	602
181	499	598
182	501	594
183	503	590
184	504	586
185	542	624
186	544	620
187	546	616
188	548	612
189	550	608
190	552	604
191	553	599
192	555	596
193	557	592
194	559	588
195	561	584
196	563	580
197	564	576
198	566	572
199	568	568
200	570	564
201	572	561
202	574	557
203	575	553
204	577	549
205	579	545
206	581	541
207	582	537
208	585	534
209	587	531
210	589	527
211	590	523
212	592	520
213	594	516
214	595	512
215	597	509
216	600	506
217	602	502
218	603	498
219	604	494
220	606	491
221	608	487
222	610	484
223	612	481
224	614	477
225	616	474
226	618	471
227	619	467
228	621	464
229	623	460
230	624	457
231	626	453
232	629	450
233	631	448
234	633	444
235	634	441
236	636	437
237	638	434
238	640	431
239	641	427
240	644	425
241	646	421
242	648	418
243	649	415
244	651	412
245	652	408
246	654	405
247	656	402
248	658	399
249	660	396
250	662	393
251	664	389
252	665	386
253	667	383
254	669	380
255	670	377
256	672	374
257	675	371
258	677	368
259	679	365
260	681	362
261	683	359
262	684	356
263	686	353
264	687	350
265	690	347
266	692	344
267	693	341
268	695	338
269	697	335
270	699	332
271	701	329
272	702	326
273	704	324
274	706	321
275	708	318
276	709	315
277	711	312
278	713	309
279	715	306
280	716	303
281	718	300
282	720	297
283	722	295
284	723	292
285	725	289
286	727	286
287	729	283
288	730	280
289	732	277
290	734	275
291	736	272
292	738	269
293	739	266
294	741	263
295	743	261
296	744	258
297	746	255
298	748	252
299	750	250
300	752	247
301	753	244
302	755	241
303	757	239
304	758	236
305	760	233
306	762	230
307	764	228
308	766	225
309	768	223
310	769	220
311	771	217
312	773	214
313	774	212
314	776	209
315	778	206
316	780	204
317	782	201
318	784	199
319	785	196
320	787	193
321	788	191
322	790	188
323	792	185
324	794	183
325	795	180
326	797	178
327	799	175
328	800	172
329	802	170
330	804	167
331	806	165
332	808	162
333	810	160
334	811	157
335	813	154
336	815	152
337	817	149
338	818	147
339	820	144
340	822	142
341	824	139
342	826	137
343	828	134
344	829	132
345	831	129
346	833	127
347	835	124
348	837	122
349	839	119
350	841	117
351	843	114
352	844	112
353	846	110
354	848	107
355	849	105
356	851	102
357	854	100
358	856	97
359	857	95
360	859	92
361	861	90
362	863	87
363	864	85
364	868	83
365	870	80
366	871	78
367	873	75
368	875	73
369	876	71
370	878	68
371	880	66
372	882	63
373	886	61
374	889	59
375	891	56
376	893	54
377	895	52
378	898	49
379	901	47
380	902	45
381	904	42
382	907	40
383	909	37
384	911	35
385	913	33
386	914	30
387	916	28
388	918	25
389	920	23
390	921	21
391	923	18
392	925	16
393	927	14
394	929	11
395	931	9
396	932	7
397	934	4
398	936	2
399	937	0
